date,(주)넥스트엔터테인먼트월드(NEW),(주)쇼박스,(주)시너지하우스 (시너지),(주)시네마서비스,(주)싸이더스,(주)이수C&E,CGV아트하우스,UIP코리아,no record,㈜스튜디오이쩜영,롯데엔터테인먼트,메가박스중앙(주),소니픽처스,쇼이스트(주),씨제이이앤엠(주),에스케이텔레콤(주),워너브러더스코리아(주),월트디즈니컴퍼니코리아,유니버설픽쳐스인터내셔널 코리아(유),이십세기폭스코리아(주),주식회사 해리슨앤컴퍼니,판씨네마(주)
2008.10,18.7182364483689,50.256590708331416,14.432156405018967,46.80395611904752,38.633116968180566,74.47723447507049,0.0,54.00983594296282,35.06996479878223,29.705554873061008,33.13827066032592,31.146713380046712,46.63483373217406,41.45795308251065,49.06402209260095,33.60932031681709,50.06452348797313,53.12662429157404,38.84716911518079,42.64074956705148,52.865418084777225,16.080889787664308
2008.11,18.766820061746373,50.07823715051728,17.039066201490286,46.80394167507537,36.809053865951256,74.4750977949693,0.0,54.00970323702301,34.923347477604906,29.176918592789065,33.03931302154954,31.13696848424212,45.791738992963616,41.45795308251065,48.54951884349224,32.386905228083414,49.619452825997094,53.12662429157404,38.31958021087576,42.44092426771892,52.862464349591534,16.08513853904282
2008.12,31.028454242501923,50.04634389499252,17.201597565614303,46.80391728520282,33.955320077897056,74.47025019119414,0.0,54.009638987768696,34.81596495815899,29.162254038072213,35.263599130220996,31.13696848424212,45.37633884741598,41.45795308251065,47.96717143770662,32.06238376295714,49.60569925079287,53.12662429157404,38.312931674182316,42.708018041959264,52.85639994586966,44.04366913892307
2009.01,28.60658403046052,50.34152525020083,26.25171785986962,46.80391728520282,33.501665725642276,74.47025019119414,0.0,54.009638987768696,34.75349651970007,29.162254038072213,36.043095681393346,30.19302143639493,44.89674068082134,41.45795308251065,47.92336073951205,32.06103372048142,49.363380267942645,53.12662429157404,38.42910625005032,42.89506100320663,52.89086235553322,42.600190869069976
2009.02,31.67150216324847,49.920600261091394,26.15513182216169,46.80391728520282,33.07928046062489,74.47025019119414,0.0,54.009638987768696,34.764305629927804,29.16218609542175,35.79660157200012,30.11230630125027,44.525475219212055,41.45795308251065,47.605590269719556,31.97658438959306,49.49330470841944,53.12662429157404,38.39122096326619,42.314041969834456,52.60335944532761,42.58697654427115
2009.03,29.275048761106696,49.270291397546806,25.12910593578369,46.80369723828887,31.679693733290406,74.47025019119414,0.0,54.009638987768696,34.71613751989475,29.16198030299941,35.54155500527126,30.08434823236256,44.10843747185476,41.45795308251065,47.339155280055856,30.871479853843034,49.04582506579319,53.12662429157404,37.7320788598073,41.72814619778487,52.582608362762834,42.51034187773059
2009.04,29.689659255750616,49.07943100979264,23.239695006592903,46.804541152019304,30.93740370579626,74.47025019119414,0.0,54.00755296068298,34.54142301964915,29.161915747650756,35.304117322852186,30.08434823236256,43.84189626265693,41.45795308251065,46.941822859505095,29.52216757964807,48.98358393331884,53.12662429157404,36.53292635430086,41.25905689231124,52.57995272410592,42.46410373760488
2009.05,29.04161312371839,49.03909622630507,23.39320849796713,46.50021275724602,30.900353173266613,74.47025019119414,0.0,54.00755296068298,33.05232744269433,29.161915747650756,36.94244029877644,30.08434823236256,43.94315885512262,41.45795308251065,46.99163434329515,30.309540924948152,48.98313898560222,52.123513722032406,36.5229747966076,41.184222088673586,52.57972553973358,42.46410373760488
2009.06,28.68941894500841,49.09974894349466,22.8191908959631,46.3838253058696,30.129901102383215,74.47025019119414,0.0,54.00755296068298,32.80876035773808,29.161915747650756,36.31677913488207,30.08434823236256,43.125551542152465,41.45774496391633,47.21929969245726,30.454810228395047,48.98313898560222,52.123513722032406,36.5229747966076,41.049079631173036,52.57972553973358,42.46410373760488
2009.07,28.28397910695897,48.81577406202495,23.17005967005967,46.38544363270275,30.12549630653448,74.47025019119414,0.0,54.00740054002987,32.79269783192558,29.161915747650756,36.28352822747057,30.07372841810546,43.07729542346468,41.45774496391633,47.70435814221995,30.29354457135981,49.7241258852458,52.123513722032406,36.5229747966076,40.946964730519404,52.577827751196175,42.46410373760488
2009.08,28.570964393700077,49.670362677482686,23.364442525490716,46.38544363270275,29.79379070564615,74.47025019119414,0.0,54.00740054002987,32.56187360801782,29.161915747650756,36.15726240347033,30.07372841810546,43.13809309673991,41.45774496391633,48.42396906585178,29.713385970121436,49.46036834711569,52.123513722032406,36.522910452888624,40.958898046565196,52.577827751196175,42.46410373760488
2009.09,28.350698266227898,49.03059884020595,25.02676867719483,46.385255389726225,29.049097487025,74.47025019119414,0.0,54.00740054002987,32.45346856878874,29.161915747650756,35.98187215387257,30.07372841810546,42.529030270648775,41.45774496391633,47.978690133072895,28.682917868361592,48.88640017957746,52.123513722032406,36.208084134423025,40.8947133163578,52.576762611957435,42.462808152306565
2009.10,26.82672551273968,48.61309227402318,24.397768354638803,46.385255389726225,28.40438239844565,74.47025019119414,0.0,54.00709570130463,31.761099168146554,29.161915747650756,35.59657510030915,30.07372841810546,41.80304481980792,41.45774496391633,47.6614238373908,28.682481208071497,48.456450124167105,52.123513722032406,36.14766784324092,40.89503508952326,52.576762611957435,42.464915492098356
2009.11,27.404319532954954,48.59242206394298,23.823569878935714,46.20653902792049,27.891065221525004,74.47025019119414,0.0,54.00709570130463,31.642318130667903,29.161915747650756,35.55701589814285,30.07372841810546,42.98251030214795,41.45774496391633,47.3359306231802,28.71393407471376,48.6044557265614,52.123513722032406,35.54221872707003,40.89496299219227,52.576762611957435,42.36504653567735
