date,순위,영화명,개봉일,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,국적,배급사
2017.06,191,덕혜옹주,2016-08-03,851500,0.0%,44395554609,209,5599606,1,4,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
2017.06,192,그 후,2017-07-06,1664000,0.0%,1664000,208,208,1,1,한국,한국,"(주)영화제작전원사 ,(주)콘텐츠판다"
2017.06,193,키즈 리턴,2000-09-28,1452000,0.0%,4434000,195,524,1,2,일본,일본,
2017.06,193,우리를 침범하는 것들,2017-07-20,1560000,0.0%,1560000,195,195,1,1,영국,영국,그린나래미디어(주)
2017.06,195,빨간 마후라,,386000,0.0%,12653000,193,6303,1,12,한국,한국,
2017.06,196,삼등과장,,380000,0.0%,1473000,190,746,1,12,한국,한국,
2017.06,197,폭풍의 언덕,,378000,0.0%,15256000,189,7522,1,12,미국,미국,
2017.06,197,스카라무슈,1973-06-02,378000,0.0%,542000,189,271,1,11,미국,미국,
2017.06,199,우리들,2016-06-16,1302500,0.0%,363211460,184,48916,1,4,한국,한국,(주)엣나인필름
2017.06,200,그녀들을 울게 하세요,,910000,0.0%,910000,182,182,1,1,기타,기타,
2017.06,200,아들을 위하여,,910000,0.0%,910000,182,182,1,1,기타,기타,
2017.06,200,노래하는 연못,,910000,0.0%,910000,182,182,1,1,기타,기타,
2017.06,203,페드라,1996-11-16,365000,0.0%,4378000,180,2158,1,12,그리스,그리스,
2017.06,204,힐링캠프 : 한 세상,2017-06-22,878000,0.0%,878000,176,176,20,20,한국,한국,THE 픽쳐스
2017.06,204,누드모델,2017-06-01,891000,0.0%,891000,176,176,20,21,한국,한국,판타스틱룸미디어
2017.06,206,티켓 다방 - 무삭제판,2017-06-16,876000,0.0%,876000,175,175,20,20,한국,한국,(주)컨텐츠 빌리지
2017.06,206,옆집여자,2017-06-20,881000,0.0%,881000,175,175,20,20,한국,한국,(주)제이에이와이이엔터테인먼트
2017.06,208,거인,,348000,0.0%,7454000,174,3591,1,9,미국,미국,
2017.06,209,행복 목욕탕,2017-03-23,999000,0.0%,169852600,172,21935,1,2,일본,일본,(주)디스테이션
2017.06,210,다음 침공은 어디?,2016-09-08,850000,0.0%,155683700,170,20646,1,1,미국,미국,판씨네마(주)
2017.06,211,신부의 아버지,,334000,0.0%,1128000,167,564,1,7,미국,미국,
2017.06,212,사촌여동생,2017-06-13,826000,0.0%,826000,165,165,20,20,한국,한국,케이제이픽처스
2017.06,213,청춘연애,2017-04-20,920500,0.0%,933500,161,166,1,19,중국,중국,즐감
2017.06,214,MSFF2017 심야상영,,1510500,0.0%,1510500,154,154,1,1,한국,한국,
2017.06,215,사랑방 손님과 어머니,,302000,0.0%,2116000,151,1070,1,12,한국,한국,
2017.06,216,판도라,2016-12-07,600000,0.0%,36065211064,150,4583820,1,1,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
2017.06,217,소나티네,2000-01-08,1091000,0.0%,3024000,149,365,1,2,일본,일본,
2017.06,217,빅쇼트,2016-01-21,1043000,0.0%,3626567707,149,447220,1,1,미국,미국,롯데쇼핑㈜롯데엔터테인먼트
2017.06,219,하나비,1998-12-05,1036000,0.0%,4084000,143,500,1,2,일본,일본,
2017.06,219,마차 타고 고래고래,2017-05-18,1118500,0.0%,74943500,143,8971,6,35,한국,한국,와이드 릴리즈(주)
2017.06,221,MSFF2017 비정성시 1,,924000,0.0%,924000,142,142,1,2,한국,한국,
2017.06,221,MSFF2017 사랑에 관한 짧은 필름 2,,852000,0.0%,852000,142,142,1,1,한국,한국,
2017.06,223,만추,2011-02-17,907000,0.0%,6342668900,141,849512,1,38,한국,"한국,미국,홍콩",씨제이엔터테인먼트
2017.06,224,이월화개,2017-05-30,892000,0.0%,914000,139,149,6,79,중국,중국,(주)케이알씨지
2017.06,225,내 아내와 결혼해 주세요,2017-05-18,1028000,0.0%,20508000,138,2676,4,45,일본,일본,(주)스마일이엔티
2017.06,226,캐롤,2016-02-04,1019500,0.0%,2648478175,135,319708,3,7,미국,"미국,영국",CGV아트하우스
2017.06,226,우리들의 일기,2017-06-01,570000,0.0%,3496000,135,478,8,112,한국,한국,THE 픽쳐스
2017.06,228,MSFF2017 사랑에 관한 짧은 필름 4,,795000,0.0%,795000,133,133,1,1,한국,한국,
