date,category,전체,한국,외국
2017.06,관객수,15103839,4909675,10194164
2017.06,스크린수,16690,6380,10310
2017.06,상영횟수,506175,186527,319648
2017.07,매출액,168903288792,52799217975,116104070817
2017.07,관객수,21357163,6862644,14494519
2017.07,스크린수,17951,5708,12243
2017.07,상영횟수,532446,156336,376110
2017.08,매출액,233918739812,167832905977,66085833835
2017.08,관객수,29885346,21381562,8503784
2017.08,스크린수,19830,8505,11325
2017.08,상영횟수,570572,371432,199140
2017.09,매출액,101520160000,47259711457,54260448543
2017.09,관객수,12719893,5986904,6732989
2017.09,스크린수,20123,7628,12495
2017.09,상영횟수,512470,248725,263745
2017.10,매출액,174797424853,104511668918,70285755935
2017.10,관객수,21585909,12963728,8622181
2017.10,스크린수,18521,7423,11098
2017.10,상영횟수,536940,295472,241468
